Time (min),Mean Intensity (A.U.),Protein Concentration (ng per µL),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
134.0,322.7639329433440,11.775273943407200,120.52481006558100,144629772078.6970,2571645808.100710
134.5,325.7162821292880,11.882983377122600,121.62726076891100,145952712922.69400,2680823830.116910
135.0,328.74661016464200,11.993537683575900,122.75882992401200,147310595908.8140,2671928442.9954800
135.5,331.6791079044340,12.100522884523200,123.85386780474100,148624641365.68900,2656626706.2502100
136.0,334.67528772354100,12.209831374576500,124.97268551255300,149967222615.06400,2616915458.027890
136.5,337.519163608551,12.313583418064300,126.03463068643100,151241556823.71700,2601301015.7818600
137.0,340.4804973602300,12.421620632278000,127.14043635903800,152568523630.8460,2683302825.141880
137.5,343.5073730945590,12.53204898974460,128.27071637404900,153924859648.85900,2590308888.600130
138.0,346.26117634773300,12.632514947624900,129.29902709953800,155158832519.446,2648650098.529540
138.5,349.4182496070860,12.747693251933200,130.47792478949000,156573509747.38800,2743804021.3415500
139.0,352.3844037055970,12.855906325029100,131.58553045065600,157902636540.78800,2587190059.873870
139.5,355.1919684410100,12.958333642641300,132.6339165060520,159160699807.26200,2696687304.314450
140.0,358.4024827480320,13.075461616388700,133.83276987091800,160599323845.10200,2751691956.166570
140.5,361.3327989578250,13.182367229405800,134.9269931361910,161912391763.4290,2718924864.022000
141.0,364.4701883792880,13.296827415734500,136.09854059093700,163318248709.12400,2677013886.9786400
141.5,367.306973695755,13.400320776704000,137.1578380420060,164589405650.40700,2581315961.2934900
142.0,370.2307982444760,13.506989556916500,138.24963722534800,165899564670.4180,2516500347.963620
142.5,372.9229373931890,13.605205846700700,139.25492166530900,167105905998.37100,2626678771.1785600
143.0,376.0926423072820,13.720844986869900,140.4385362013300,168526243441.59600,2877154274.7128300
143.5,379.3437566757200,13.83945415723360,141.65255022757000,169983060273.0840,2764139494.019990
144.0,382.26125144958500,13.945892010674700,142.74198577968000,171290382935.61600,2655080379.1517900
144.5,385.2689833641050,14.055621951436200,143.86511721019600,172638140652.2360,2652757790.294590
145.0,388.1812949180600,14.161870707434600,144.9526172715920,173943140725.91100,2692222036.426820
145.5,391.2770974636080,14.274813695568600,146.1086355738850,175330362688.6630,2704464237.767640
146.0,394.2167294025420,14.382059170792800,147.20633746973200,176647604963.67800,2655994778.325170
146.5,397.2043647766110,14.491055937103900,148.3219645558230,177986357466.98800,2507860830.2218900
147.0,399.8134126663210,14.586240840053400,149.29622149491700,179155465793.90000,2584127639.9293800
147.5,402.9712493419650,14.701446995788200,150.47540425576400,180570485106.91700,2781359236.181730
148.0,406.02045035362200,14.812689837865800,151.61402085840200,181936825030.0820,2646774933.8735700
148.5,408.8779411315920,14.916938588321000,152.68105003399200,183217260040.79100,2564825366.737550
149.0,411.74425888061500,15.021509369807700,153.7513753306830,184501650396.81900,2646756451.450650
